Transaction_ID,Date,Customer_ID,Region,Product,Quantity,Unit_Price,Unit_Cost
TRX-000001,2023-01-16,CUST-0006,Europe,Enterprise License,3,1223.18,350.0
TRX-000002,2023-01-29,CUST-0018,Latin America,Premium Maintenance,5,587.91,220.0
TRX-000003,2023-01-04,CUST-0023,Asia-Pacific,Premium Maintenance,6,601.42,220.0
TRX-000004,2023-01-19,CUST-0026,Europe,Enterprise License,6,1281.53,350.0
TRX-000005,2023-01-20,CUST-0026,Europe,Premium Maintenance,6,639.68,220.0
TRX-000006,2023-01-01,CUST-0026,Europe,Premium Maintenance,3,597.77,220.0
TRX-000007,2023-01-08,CUST-0028,Latin America,Consulting Service,6,179.2,105.0
TRX-000008,2023-01-24,CUST-0028,Latin America,Basic Support,5,316.86,70.0
TRX-000009,2023-01-04,CUST-0040,North America,Consulting Service,5,175.8,105.0
TRX-000010,2023-01-09,CUST-0043,Europe,Consulting Service,2,170.03,105.0
TRX-000011,2023-01-24,CUST-0043,Europe,Premium Maintenance,7,680.54,220.0
TRX-000012,2023-01-19,CUST-0050,North America,Consulting Service,2,166.74,105.0
TRX-000013,2023-01-05,CUST-0051,Latin America,Premium Maintenance,5,692.75,220.0
TRX-000014,2023-01-05,CUST-0052,North America,Basic Support,4,276.24,70.0
TRX-000015,2023-01-06,CUST-0056,North America,Enterprise License,4,1091.53,350.0
TRX-000016,2023-01-13,CUST-0057,Asia-Pacific,Premium Maintenance,7,622.2,220.0
TRX-000017,2023-01-25,CUST-0057,Asia-Pacific,Basic Support,6,317.25,70.0
TRX-000018,2023-01-08,CUST-0064,Europe,Enterprise License,2,1131.14,350.0
TRX-000019,2023-01-01,CUST-0065,Latin America,Consulting Service,3,163.6,105.0
TRX-000020,2023-01-04,CUST-0068,Latin America,Enterprise License,1,1260.03,350.0
TRX-000021,2023-01-25,CUST-0069,Asia-Pacific,Enterprise License,7,1262.21,350.0
TRX-000022,2023-01-31,CUST-0069,Asia-Pacific,Enterprise License,5,1253.24,350.0
TRX-000023,2023-01-25,CUST-0077,Latin America,Basic Support,6,277.27,70.0
TRX-000024,2023-01-27,CUST-0080,Asia-Pacific,Premium Maintenance,0,639.15,220.0
TRX-000025,2023-01-09,CUST-0081,Europe,Enterprise License,4,1110.19,350.0
TRX-000026,2023-01-08,CUST-0085,Europe,Basic Support,4,289.85,70.0
TRX-000027,2023-01-12,CUST-0092,Europe,Consulting Service,2,184.22,105.0
TRX-000028,2023-01-29,CUST-0094,Europe,Basic Support,6,295.97,70.0
TRX-000029,2023-01-30,CUST-0094,Europe,Consulting Service,6,179.35,105.0
TRX-000030,2023-01-21,CUST-0094,Europe,Consulting Service,4,188.06,105.0
TRX-000031,2023-01-09,CUST-0096,Asia-Pacific,Enterprise License,1,1238.74,350.0
TRX-000032,2023-01-27,CUST-0098,North America,Basic Support,7,277.13,70.0
TRX-000033,2023-01-20,CUST-0098,North America,Basic Support,6,275.14,70.0
TRX-000034,2023-01-30,CUST-0099,Asia-Pacific,Premium Maintenance,7,601.08,220.0
TRX-000035,2023-01-31,CUST-0103,Europe,Basic Support,6,312.26,70.0
TRX-000036,2023-01-30,CUST-0103,Europe,Premium Maintenance,6,614.65,220.0
TRX-000037,2023-01-20,CUST-0107,Asia-Pacific,Basic Support,1,279.25,70.0
TRX-000038,2023-01-15,CUST-0111,Asia-Pacific,Consulting Service,6,178.93,105.0
TRX-000039,2023-01-16,CUST-0117,Latin America,Basic Support,1,302.38,70.0
TRX-000040,2023-01-25,CUST-0117,Latin America,Premium Maintenance,1,599.01,220.0
TRX-000041,2023-01-29,CUST-0119,Europe,Basic Support,6,292.6,70.0
TRX-000042,2023-01-26,CUST-0123,Asia-Pacific,Consulting Service,6,191.11,105.0
TRX-000043,2023-01-10,CUST-0124,Latin America,Consulting Service,2,172.19,105.0
TRX-000044,2023-01-23,CUST-0125,North America,Premium Maintenance,3,636.23,220.0
TRX-000045,2023-01-12,CUST-0128,North America,Basic Support,6,320.55,70.0
TRX-000046,2023-01-15,CUST-0128,North America,Basic Support,5,290.32,70.0
TRX-000047,2023-01-30,CUST-0137,Latin America,Premium Maintenance,2,598.86,220.0
TRX-000048,2023-01-04,CUST-0137,Latin America,Premium Maintenance,1,659.54,220.0
TRX-000049,2023-01-03,CUST-0140,North America,Basic Support,4,270.66,70.0
TRX-000050,2023-01-10,CUST-0150,Europe,Consulting Service,4,176.86,105.0
TRX-000051,2023-01-10,CUST-0150,Europe,Enterprise License,6,1278.38,350.0
TRX-000052,2023-01-31,CUST-0155,Latin America,Consulting Service,5,190.49,105.0
TRX-000053,2023-01-04,CUST-0163,Europe,Enterprise License,1,1295.81,350.0
TRX-000054,2023-01-20,CUST-0163,Europe,Basic Support,1,305.11,70.0
TRX-000055,2023-01-15,CUST-0171,Latin America,Enterprise License,2,1132.02,350.0
TRX-000056,2023-01-25,CUST-0171,Latin America,Premium Maintenance,1,608.19,220.0
TRX-000057,2023-01-02,CUST-0172,Latin America,Premium Maintenance,2,585.64,220.0
TRX-000058,2023-01-25,CUST-0184,North America,Premium Maintenance,3,612.91,220.0
TRX-000059,2023-01-25,CUST-0192,Latin America,Basic Support,1,320.1,70.0
TRX-000060,2023-01-26,CUST-0195,Latin America,Premium Maintenance,4,589.7,220.0
TRX-000061,2023-01-22,CUST-0195,Latin America,Enterprise License,4,1106.98,350.0
TRX-000062,2023-01-14,CUST-0200,Asia-Pacific,Basic Support,2,315.96,70.0
TRX-000063,2023-01-23,CUST-0200,Asia-Pacific,Premium Maintenance,1,607.59,220.0
TRX-000064,2023-01-31,CUST-0206,Europe,Basic Support,4,303.02,70.0
TRX-000065,2023-01-01,CUST-0206,Europe,Enterprise License,1,1213.12,350.0
TRX-000066,2023-01-12,CUST-0207,Europe,Basic Support,1,279.35,70.0
TRX-000067,2023-01-06,CUST-0207,Europe,Premium Maintenance,5,699.66,220.0
TRX-000068,2023-01-20,CUST-0208,Europe,Consulting Service,4,180.55,105.0
TRX-000069,2023-01-17,CUST-0208,Europe,Enterprise License,3,1284.34,350.0
TRX-000070,2023-01-14,CUST-0209,Asia-Pacific,Basic Support,7,305.06,70.0
TRX-000071,2023-01-29,CUST-0211,Europe,Basic Support,4,291.82,70.0
TRX-000072,2023-01-03,CUST-0216,Latin America,Enterprise License,3,1140.06,350.0
TRX-000073,2023-01-31,CUST-0217,Latin America,Basic Support,3,304.27,70.0
TRX-000074,2023-01-19,CUST-0218,Latin America,Enterprise License,3,1207.07,350.0
TRX-000075,2023-01-05,CUST-0222,Europe,Consulting Service,2,177.36,105.0
TRX-000076,2023-01-17,CUST-0224,Europe,Basic Support,5,307.91,70.0
TRX-000077,2023-01-11,CUST-0231,Asia-Pacific,Consulting Service,4,187.51,105.0
TRX-000078,2023-01-30,CUST-0233,Asia-Pacific,Basic Support,4,289.48,70.0
