Transaction_ID,Date,Customer_ID,Region,Product,Quantity,Unit_Price,Unit_Cost,Revenue,Cost,Profit,Month
TRX-000006,2023-01-01,CUST-0026,Europe,Premium Maintenance,3,597.77,220.0,1793.31,660.0,1133.31,2023-01
TRX-000019,2023-01-01,CUST-0065,Latin America,Consulting Service,3,163.6,105.0,490.79999999999995,315.0,175.79999999999995,2023-01
TRX-000065,2023-01-01,CUST-0206,Europe,Enterprise License,1,1213.12,350.0,1213.12,350.0,863.1199999999999,2023-01
TRX-000102,2023-01-01,CUST-0287,Asia-Pacific,Basic Support,3,275.67,70.0,827.01,210.0,617.01,2023-01
TRX-000103,2023-01-01,CUST-0290,Asia-Pacific,Basic Support,3,279.59,70.0,838.77,210.0,628.77,2023-01
TRX-000167,2023-01-01,CUST-0427,Asia-Pacific,Consulting Service,4,162.54,105.0,650.16,420.0,230.15999999999997,2023-01
TRX-000256,2023-01-01,CUST-0624,Latin America,Basic Support,7,323.57,70.0,2264.99,490.0,1774.9899999999998,2023-01
TRX-000265,2023-01-01,CUST-0673,North America,Enterprise License,6,1174.24,350.0,7045.4400000000005,2100.0,4945.4400000000005,2023-01
TRX-000285,2023-01-01,CUST-0744,Europe,Enterprise License,2,1226.78,350.0,2453.56,700.0,1753.56,2023-01
TRX-000057,2023-01-02,CUST-0172,Latin America,Premium Maintenance,2,585.64,220.0,1171.28,440.0,731.28,2023-01
TRX-000094,2023-01-02,CUST-0267,North America,Premium Maintenance,2,612.24,220.0,1224.48,440.0,784.48,2023-01
TRX-000145,2023-01-02,CUST-0373,Europe,Basic Support,1,286.88,70.0,286.88,70.0,216.88,2023-01
TRX-000272,2023-01-02,CUST-0710,Europe,Enterprise License,6,1117.87,350.0,6707.219999999999,2100.0,4607.219999999999,2023-01
TRX-000305,2023-01-02,CUST-0796,Asia-Pacific,Premium Maintenance,6,695.63,220.0,4173.78,1320.0,2853.7799999999997,2023-01
TRX-000049,2023-01-03,CUST-0140,North America,Basic Support,4,270.66,70.0,1082.64,280.0,802.6400000000001,2023-01
TRX-000072,2023-01-03,CUST-0216,Latin America,Enterprise License,3,1140.06,350.0,3420.18,1050.0,2370.18,2023-01
TRX-000187,2023-01-03,CUST-0473,Asia-Pacific,Premium Maintenance,2,639.71,220.0,1279.42,440.0,839.4200000000001,2023-01
TRX-000213,2023-01-03,CUST-0540,North America,Consulting Service,4,181.7,105.0,726.8,420.0,306.79999999999995,2023-01
TRX-000268,2023-01-03,CUST-0699,Asia-Pacific,Enterprise License,4,1165.21,350.0,4660.84,1400.0,3260.84,2023-01
TRX-000302,2023-01-03,CUST-0792,Europe,Basic Support,4,278.97,70.0,1115.88,280.0,835.8800000000001,2023-01
TRX-000003,2023-01-04,CUST-0023,Asia-Pacific,Premium Maintenance,6,601.42,220.0,3608.5199999999995,1320.0,2288.5199999999995,2023-01
TRX-000009,2023-01-04,CUST-0040,North America,Consulting Service,5,175.8,105.0,879.0,525.0,354.0,2023-01
TRX-000020,2023-01-04,CUST-0068,Latin America,Enterprise License,1,1260.03,350.0,1260.03,350.0,910.03,2023-01
TRX-000048,2023-01-04,CUST-0137,Latin America,Premium Maintenance,1,659.54,220.0,659.54,220.0,439.53999999999996,2023-01
TRX-000053,2023-01-04,CUST-0163,Europe,Enterprise License,1,1295.81,350.0,1295.81,350.0,945.81,2023-01
TRX-000118,2023-01-04,CUST-0309,North America,Consulting Service,6,183.88,105.0,1103.28,630.0,473.28,2023-01
TRX-000155,2023-01-04,CUST-0395,North America,Enterprise License,4,1213.95,350.0,4855.8,1400.0,3455.8,2023-01
TRX-000182,2023-01-04,CUST-0467,Latin America,Consulting Service,5,191.29,105.0,956.4499999999999,525.0,431.44999999999993,2023-01
TRX-000183,2023-01-04,CUST-0469,Latin America,Basic Support,4,281.04,70.0,1124.16,280.0,844.1600000000001,2023-01
TRX-000190,2023-01-04,CUST-0479,North America,Enterprise License,5,1242.76,350.0,6213.8,1750.0,4463.8,2023-01
TRX-000231,2023-01-04,CUST-0567,Europe,Consulting Service,3,164.97,105.0,494.90999999999997,315.0,179.90999999999997,2023-01
TRX-000013,2023-01-05,CUST-0051,Latin America,Premium Maintenance,5,692.75,220.0,3463.75,1100.0,2363.75,2023-01
TRX-000014,2023-01-05,CUST-0052,North America,Basic Support,4,276.24,70.0,1104.96,280.0,824.96,2023-01
TRX-000075,2023-01-05,CUST-0222,Europe,Consulting Service,2,177.36,105.0,354.72,210.0,144.72000000000003,2023-01
TRX-000137,2023-01-05,CUST-0350,North America,Enterprise License,1,1268.85,350.0,1268.85,350.0,918.8499999999999,2023-01
TRX-000142,2023-01-05,CUST-0360,Latin America,Basic Support,1,293.38,70.0,293.38,70.0,223.38,2023-01
TRX-000177,2023-01-05,CUST-0453,Latin America,Premium Maintenance,5,631.22,220.0,3156.1000000000004,1100.0,2056.1000000000004,2023-01
TRX-000194,2023-01-05,CUST-0488,Europe,Enterprise License,3,1134.53,350.0,3403.59,1050.0,2353.59,2023-01
TRX-000205,2023-01-05,CUST-0518,North America,Enterprise License,6,1233.41,350.0,7400.460000000001,2100.0,5300.460000000001,2023-01
TRX-000222,2023-01-05,CUST-0546,Latin America,Basic Support,7,291.22,70.0,2038.5400000000002,490.0,1548.5400000000002,2023-01
TRX-000234,2023-01-05,CUST-0578,North America,Enterprise License,6,1139.43,350.0,6836.58,2100.0,4736.58,2023-01
TRX-000264,2023-01-05,CUST-0652,Europe,Consulting Service,2,179.3,105.0,358.6,210.0,148.60000000000002,2023-01
TRX-000015,2023-01-06,CUST-0056,North America,Enterprise License,4,1091.53,350.0,4366.12,1400.0,2966.12,2023-01
TRX-000067,2023-01-06,CUST-0207,Europe,Premium Maintenance,5,699.66,220.0,3498.2999999999997,1100.0,2398.2999999999997,2023-01
TRX-000104,2023-01-06,CUST-0290,Asia-Pacific,Consulting Service,5,162.8,105.0,814.0,525.0,289.0,2023-01
TRX-000128,2023-01-06,CUST-0325,Latin America,Enterprise License,7,1204.17,350.0,8429.19,2450.0,5979.1900000000005,2023-01
TRX-000148,2023-01-06,CUST-0381,Europe,Enterprise License,1,1266.36,350.0,1266.36,350.0,916.3599999999999,2023-01
TRX-000210,2023-01-06,CUST-0530,Europe,Enterprise License,7,1107.14,350.0,7749.9800000000005,2450.0,5299.9800000000005,2023-01
TRX-000250,2023-01-06,CUST-0620,Europe,Consulting Service,1,166.99,105.0,166.99,105.0,61.99000000000001,2023-01
TRX-000262,2023-01-06,CUST-0629,Latin America,Basic Support,4,313.28,70.0,1253.12,280.0,973.1199999999999,2023-01
TRX-000297,2023-01-06,CUST-0772,Unknown,Enterprise License,6,1102.31,350.0,6613.86,2100.0,4513.86,2023-01
